Metric,K-Means (k=2),"DBSCAN (eps=2.5, ms=5)"
Silhouette,0.2051103957597518,0.5771341142835763
Dunn,0.049206054122460256,0.2960490736112118
Davies-Bouldin,1.8901190724828716,0.41355408229448704
Rand,0.49501321066053305,0.3774260813040652
Adjusted Rand,0.004314913603742228,0.0001362469491867118
