k,inertia,runtime_s,n_clusters,n_noise,noise_pct,silhouette,davies_bouldin,dunn,rand,adj_rand
2,171454.61461471143,0.76,2,0,0.0,0.2051103957597518,1.8901190724828716,0.049206054122460256,0.49501321066053305,0.004314913603742228
3,151139.90934420662,0.44,3,0,0.0,0.15898254703663123,1.85473596416686,0.02080635980873633,0.5488013400670033,0.02395338711248046
4,137976.35172455315,0.96,4,0,0.0,0.1667704107055688,1.683709997181287,0.02399287634159965,0.5646010900545028,0.027638977114301848
5,126186.58689562157,0.93,5,0,0.0,0.15577128552260822,1.675130740046061,0.03745689599569764,0.5732580729036452,0.01290693465972661
6,115890.78609999243,0.51,6,0,0.0,0.16119949182868215,1.633810127793197,0.04052146869167149,0.585536376818841,0.025868130723282295
7,110165.47005456856,0.6,7,0,0.0,0.1539394340434518,1.6445611816858476,0.029582917269511417,0.5899425621281064,0.021869152227783056
8,105529.32402324506,0.74,8,0,0.0,0.1527669172428109,1.6387012779684023,0.016675175180068818,0.594452437621881,0.020048053366648423
9,101277.7533116692,0.99,9,0,0.0,0.14974087484570456,1.6507790399435889,0.029582917269511417,0.5967996649832492,0.01616314942054334
10,97859.68388646787,0.98,10,0,0.0,0.14627246575477873,1.6703751234776334,0.04040857904725782,0.6022290314515726,0.021862204514565133
