ArraySize,Comparisons
1000,1009
1500,1509
2000,2010
2500,2509
3000,3011
3500,3511
4000,4011
4500,4512
5000,5010
5500,5512
6000,6011
6500,6512
7000,7012
7500,7512
8000,8012
8500,8513
9000,9013
9500,9513
10000,10013
11000,11013
12000,12011
13000,13013
14000,14013
15000,15013
