max_depth,actual_depth,leaves,train_acc,test_acc,cv_acc,cv_std,precision,recall,f1
1,1,2,0.7893258426966292,0.776536312849162,0.7867553825874082,0.018807400260144033,0.7377049180327869,0.6521739130434783,0.6923076923076923
2,2,4,0.8047752808988764,0.7597765363128491,0.7766367459669826,0.0154860084242803,0.8611111111111112,0.4492753623188406,0.5904761904761905
3,3,8,0.8328651685393258,0.7932960893854749,0.8249074132195091,0.01491140901994006,0.8636363636363636,0.5507246376811594,0.672566371681416
4,4,15,0.8412921348314607,0.7877094972067039,0.8204067541271736,0.017585806935584612,0.8604651162790697,0.5362318840579711,0.6607142857142857
5,5,23,0.8651685393258427,0.7821229050279329,0.8136651810934655,0.016317665379963344,0.7678571428571429,0.6231884057971014,0.688
6,6,35,0.8862359550561798,0.8044692737430168,0.8125604167974391,0.021572759522659104,0.84,0.6086956521739131,0.7058823529411765
8,8,63,0.9185393258426966,0.8100558659217877,0.8204255853367648,0.019787018867287884,0.8181818181818182,0.6521739130434783,0.7258064516129032
10,10,85,0.9382022471910112,0.8044692737430168,0.8148389931579938,0.028907270470897216,0.7741935483870968,0.6956521739130435,0.732824427480916
15,15,111,0.9620786516853933,0.8268156424581006,0.7923608059757705,0.020167614948221592,0.8064516129032258,0.7246376811594203,0.7633587786259542
None,23,153,0.9817415730337079,0.8212290502793296,0.7901136149645346,0.028623635424902993,0.7936507936507936,0.7246376811594203,0.7575757575757576
